fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,97.66666666666667,97.65365056916238,97.50714506172838,97.66666666666667,99.0,97.73333333333333,0.6463573143221768,97.71680938491575,97.88267232510287,98.13333333333334,99.2
2,96.66666666666667,96.6392786230201,97.00859914336104,97.0,99.33333333333333,97.73333333333333,0.6463573143221768,97.71680938491575,97.88267232510287,98.13333333333334,99.2
3,98.66666666666667,98.6715844006848,98.04021741412615,98.33333333333333,99.0,97.73333333333333,0.6463573143221768,97.71680938491575,97.88267232510287,98.13333333333334,99.2
4,98.0,97.97370109208524,98.92909968925842,99.66666666666667,100.0,97.73333333333333,0.6463573143221768,97.71680938491575,97.88267232510287,98.13333333333334,99.2
5,97.66666666666667,97.64583223962622,97.9283003170404,98.0,98.66666666666667,97.73333333333333,0.6463573143221768,97.71680938491575,97.88267232510287,98.13333333333334,99.2
