fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,97.33333333333334,97.33633984497669,97.32322110943142,97.33333333333334,99.0,98.13333333333333,0.6863753427324627,98.1312837118432,97.96255575501806,98.26666666666668,99.46666666666667
2,99.0,98.99425766416597,98.7410593558411,99.33333333333333,99.33333333333333,98.13333333333333,0.6863753427324627,98.1312837118432,97.96255575501806,98.26666666666668,99.46666666666667
3,98.66666666666667,98.67185329258128,98.18200244604014,99.0,99.66666666666667,98.13333333333333,0.6863753427324627,98.1312837118432,97.96255575501806,98.26666666666668,99.46666666666667
4,98.33333333333333,98.32091227911846,97.9095507894516,97.66666666666667,100.0,98.13333333333333,0.6863753427324627,98.1312837118432,97.96255575501806,98.26666666666668,99.46666666666667
5,97.33333333333334,97.33305547837364,97.65694507432602,98.0,99.33333333333333,98.13333333333333,0.6863753427324627,98.1312837118432,97.96255575501806,98.26666666666668,99.46666666666667
