fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,94.66666666666667,94.63539766906293,95.67591994205088,95.33333333333334,98.66666666666667,95.86666666666667,0.8844332774281073,95.83860500492457,96.0850044196691,96.06666666666668,98.66666666666666
2,97.33333333333334,97.31476013663483,96.85536407155453,97.33333333333334,99.0,95.86666666666667,0.8844332774281073,95.83860500492457,96.0850044196691,96.06666666666668,98.66666666666666
3,96.0,95.98870332966737,95.91508330183926,96.33333333333334,98.33333333333333,95.86666666666667,0.8844332774281073,95.83860500492457,96.0850044196691,96.06666666666668,98.66666666666666
4,95.33333333333334,95.26622343325619,95.34627766229949,95.33333333333334,98.0,95.86666666666667,0.8844332774281073,95.83860500492457,96.0850044196691,96.06666666666668,98.66666666666666
5,96.0,95.98794045600151,96.63237712060133,96.0,99.33333333333333,95.86666666666667,0.8844332774281073,95.83860500492457,96.0850044196691,96.06666666666668,98.66666666666666
