fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,96.66666666666667,96.68169682099675,96.35761348366508,97.0,99.33333333333333,95.8,1.6275407487645002,95.78390117408969,95.97828082220543,96.8,99.06666666666666
2,96.0,96.00425294214048,95.76558804694719,97.0,98.66666666666667,95.8,1.6275407487645002,95.78390117408969,95.97828082220543,96.8,99.06666666666666
3,96.33333333333334,96.32435274833914,96.4421320441757,97.0,99.33333333333333,95.8,1.6275407487645002,95.78390117408969,95.97828082220543,96.8,99.06666666666666
4,97.33333333333334,97.3272205242197,96.84289908247248,97.66666666666667,99.66666666666667,95.8,1.6275407487645002,95.78390117408969,95.97828082220543,96.8,99.06666666666666
5,92.66666666666666,92.58198283475241,94.4831714537667,95.33333333333334,98.33333333333333,95.8,1.6275407487645002,95.78390117408969,95.97828082220543,96.8,99.06666666666666
