fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,99.0,99.00501035233803,98.0701183127572,98.0,99.33333333333333,98.13333333333334,0.6182412330330446,98.12011139095871,97.88933860334257,98.26666666666668,99.33333333333334
2,97.66666666666667,97.64050358699075,97.28651901192576,98.0,99.0,98.13333333333334,0.6182412330330446,98.12011139095871,97.88933860334257,98.26666666666668,99.33333333333334
3,97.33333333333334,97.3264789595182,97.70367115982195,97.66666666666667,99.0,98.13333333333334,0.6182412330330446,98.12011139095871,97.88933860334257,98.26666666666668,99.33333333333334
4,98.66666666666667,98.65374318748229,98.3199738074242,99.0,99.66666666666667,98.13333333333334,0.6182412330330446,98.12011139095871,97.88933860334257,98.26666666666668,99.33333333333334
5,98.0,97.97482086846422,98.06641072478374,98.66666666666667,99.66666666666667,98.13333333333334,0.6182412330330446,98.12011139095871,97.88933860334257,98.26666666666668,99.33333333333334
