fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,95.33333333333334,95.33342501152956,95.41919228185101,96.66666666666667,99.0,94.2,1.681269361722469,94.14728297118519,93.70925280297303,94.93333333333334,98.06666666666668
2,96.0,95.9364546781531,95.18608843537415,96.33333333333334,98.66666666666667,94.2,1.681269361722469,94.14728297118519,93.70925280297303,94.93333333333334,98.06666666666668
3,92.33333333333333,92.21210011126566,92.33950097631646,94.33333333333334,96.66666666666667,94.2,1.681269361722469,94.14728297118519,93.70925280297303,94.93333333333334,98.06666666666668
4,92.0,91.91244484774947,92.06455609095488,92.33333333333333,97.66666666666667,94.2,1.681269361722469,94.14728297118519,93.70925280297303,94.93333333333334,98.06666666666668
5,95.33333333333334,95.3419902072282,93.53692623036869,95.0,98.33333333333333,94.2,1.681269361722469,94.14728297118519,93.70925280297303,94.93333333333334,98.06666666666668
