fold,acuracia,f1,map_at_10,r_at_1,r_at_5,acuracia_media,acuracia_std,f1_media,map_at_10_media,r_at_1_media,r_at_5_media
1,95.0,94.95940477612403,94.73972138238011,95.33333333333334,98.33333333333333,94.8,1.16619037896906,94.76871807635884,95.10276043503822,95.4,98.53333333333333
2,94.0,93.99145460163798,95.38733533845637,95.0,98.33333333333333,94.8,1.16619037896906,94.76871807635884,95.10276043503822,95.4,98.53333333333333
3,94.0,94.00252487577511,95.0068796191316,95.33333333333334,99.66666666666667,94.8,1.16619037896906,94.76871807635884,95.10276043503822,95.4,98.53333333333333
4,97.0,96.97721589330371,95.95812977660201,96.33333333333334,98.0,94.8,1.16619037896906,94.76871807635884,95.10276043503822,95.4,98.53333333333333
5,94.0,93.91299023495334,94.42173605862098,95.0,98.33333333333333,94.8,1.16619037896906,94.76871807635884,95.10276043503822,95.4,98.53333333333333
