camada,fold1,fold2,fold3,fold4,fold5
layer1,96.0,96.0,94.0,96.0,95.33333333333334
layer2,96.0,96.33333333333334,95.0,95.66666666666667,96.33333333333334
layer3,87.0,88.0,90.33333333333333,88.33333333333333,87.66666666666667
layer4,59.0,64.66666666666666,58.333333333333336,59.0,55.00000000000001
