stage,accuracy_mean,accuracy_std,f1_score,dim
stage1,88.4,1.5114378731672797,88.21064626962723,192
stage2,94.33333333333334,1.398411797560203,94.26164395014393,384
stage3,95.53333333333333,0.5416025603090651,95.48718090916248,768
stage4,83.86666666666667,2.801586851926761,83.70188212252802,768
