camada,fold1,fold2,fold3,fold4,fold5
layer1,66.66666666666666,72.0,70.33333333333334,73.33333333333333,71.33333333333334
layer2,85.66666666666667,84.33333333333334,87.33333333333333,89.0,86.66666666666667
layer3,94.33333333333334,92.0,95.0,93.66666666666667,91.0
layer4,93.33333333333333,95.0,95.33333333333334,95.33333333333334,94.66666666666667
layer5,90.0,87.0,89.33333333333333,92.0,88.66666666666667
