bloco,accuracy_mean,accuracy_std,f1_score,dim
block0,94.53333333333333,1.1274356350191868,94.57908995479072,384
block1,95.4,1.271918935222595,95.38123571430225,384
block2,95.86666666666667,1.0456258094238744,95.86397528254774,384
block3,95.2,0.8326663997864517,95.18967480939673,384
block4,92.13333333333333,0.2666666666666679,92.19326175340083,384
block5,88.73333333333333,0.7717224601860108,88.77628548902223,384
block6,84.93333333333334,1.2364824660660927,84.89319266304032,384
block7,84.06666666666668,1.1813363431112867,83.950028085949,384
block8,76.0,0.7601169500660899,75.81831341277912,384
block9,69.93333333333332,1.9708993998792668,69.80734174469717,384
block10,66.13333333333334,3.276854860651869,65.94341117795786,384
block11,62.8,1.733333333333333,62.65751228222537,384
