bloco,accuracy_mean,accuracy_std,f1_score,dim
block0,52.2,2.688246020487459,51.5972548231181,384
block1,69.86666666666667,2.2764494771951864,69.74564151188164,384
block2,79.93333333333334,2.6110874703421523,79.68590676104128,384
block3,87.86666666666666,1.4391355429948558,87.61965230700643,384
block4,90.53333333333333,1.326649916142158,90.39716297198254,384
block5,90.99999999999999,2.022100118413744,90.90610216785143,384
block6,92.2,1.8451136670797408,92.06503386787395,384
block7,95.00000000000001,0.9888264649460887,94.98001624631259,384
block8,96.86666666666669,0.541602560309063,96.86039151201678,384
block9,97.20000000000002,0.541602560309063,97.1889496669813,384
block10,96.26666666666668,0.5333333333333308,96.24911625728376,384
block11,96.0,0.8692269873603518,95.9663226995228,384
