camada,fold1,fold2,fold3,fold4,fold5
stage1,94.66666666666667,95.33333333333334,94.0,94.33333333333334,95.66666666666667
stage2,94.0,94.33333333333334,93.66666666666667,93.66666666666667,94.0
stage3,73.0,81.66666666666667,82.66666666666667,80.33333333333333,78.0
stage4,51.0,53.666666666666664,57.666666666666664,53.333333333333336,52.33333333333333
