camada,fold1,fold2,fold3,fold4,fold5
stage1,86.66666666666667,89.66666666666666,88.66666666666667,90.33333333333333,86.66666666666667
stage2,93.66666666666667,94.66666666666667,96.0,95.33333333333334,92.0
stage3,95.66666666666667,95.66666666666667,96.33333333333334,95.33333333333334,94.66666666666667
stage4,84.33333333333334,83.33333333333334,80.0,88.66666666666667,83.0
