camada,accuracy_mean,accuracy_std,f1_score,dim
layer1,95.13333333333335,0.8055363982396375,95.11853507660706,64
layer2,90.26666666666665,1.2719189352225924,90.21543878332405,128
layer3,85.46666666666667,2.3342855200015458,85.35274918138141,256
layer4,71.80000000000001,2.552558629210216,70.9910271407728,512
layer5,55.06666666666668,2.6364959911046943,55.12310776681549,512
