stage,accuracy_mean,accuracy_std,f1_score,dim
stage1,94.41336885502594,0.5243000115001069,94.35016858812422,192
stage2,93.41074241814286,0.4687751759206348,93.33103047384637,384
stage3,78.34361681066274,3.7494778789269443,78.1001575433966,768
stage4,54.137402331062866,2.3928486189921276,53.936474111271394,768
