backbone,atributo,camada_E,acc_E_media,acc_E_std,f1_E_media,map10_E,r1_E,r5_E,camada_D,acc_D_media,acc_D_std,f1_D_media,map10_D,r1_D,r5_D,acc_Z_media,acc_Z_std,f1_Z_media,map10_Z,r1_Z,r5_Z,melhora
resnet50,color,layer2,95.86666666666667,0.49888765156986203,95.85163908259756,94.51226959981523,96.13333333333334,99.0,layer3,88.26666666666667,1.1234866364235123,88.13309064583301,86.25248982741246,87.66666666666666,97.2,94.13333333333335,0.7774602526460433,94.07600210542867,92.3964693877551,93.93333333333334,98.33333333333334,-1.73333333333332
resnet50,texture,layer2,90.66666666666666,1.6465452046971305,90.650977414635,90.34661485890652,90.79999999999998,99.06666666666666,layer3,93.26666666666667,0.24944382578493046,93.2269377201957,93.7187033047787,95.6,99.20000000000002,93.53333333333333,1.2927146286443603,93.50661564589723,93.04595578231292,94.46666666666667,98.86666666666666,0.2666666666666657
ibot,color,block2,95.86666666666667,1.0456258094238744,95.86397528254773,94.92556889854708,95.4,99.13333333333334,block9,69.93333333333332,1.9708993998792668,69.8073417446972,71.84711613966574,72.00000000000001,92.46666666666665,74.33333333333334,1.445298892578585,74.20164809340164,75.05915308222055,76.66666666666666,94.13333333333333,-21.53333333333333
ibot,texture,block2,79.93333333333334,2.6110874703421523,79.68590676104128,78.89847912992357,79.33333333333333,94.33333333333334,block9,97.20000000000002,0.541602560309063,97.18894966698129,96.40237759301253,97.73333333333333,99.8,97.00000000000001,0.4216370213557846,96.99271263934651,96.30465805828503,97.66666666666667,99.73333333333333,-0.20000000000000284
vmamba,color,stage1,94.80000000000001,0.6182412330330482,94.76605855034136,93.19635284916437,94.33333333333334,98.46666666666667,stage2,93.93333333333334,0.24944382578493046,93.89860509607013,91.72822055303604,93.13333333333333,98.33333333333334,94.13333333333335,0.16329931618554985,94.09968191051705,92.51456152893257,93.66666666666666,98.4,-0.6666666666666572
vmamba,texture,stage1,88.4,1.5114378731672797,88.21064626962723,87.66315593768373,88.8,97.33333333333334,stage2,94.33333333333334,1.398411797560203,94.26164395014393,93.51988751364743,95.53333333333335,99.13333333333334,93.4,1.9595917942265448,93.29254216606401,93.04728342571597,95.06666666666668,99.13333333333333,-0.9333333333333371
